descriptor,order_num,color_code
lemon balm_5,274,
lime leaf_5,275,
tarragon_5,276,
mushroom plant_5,277,
parsley_5,278,
thyme_5,279,
marjoram_5,280,
oregano_5,281,
rosemary_5,282,
mint_5,283,
sage_5,284,
saffron_5,285,
garlic powder_5,286,
anise_5,287,
cardamom_5,288,
cinnamon_5,289,
cloves_5,290,
licorice_5,291,
nutmeg_5,292,
spice_5,293,
turmeric_5,294,
infusion_5,295,
tea_5,296,
kombucha_5,297,
artichoke_5,298,
broccoli_5,299,
cauliflower_5,300,
brussel sprout_5,301,
cabbage_5,302,
chive blossom_5,303,
dill flower_5,304,
flower_5,305,
lavender_5,306,
marigold_5,307,
nasturtium_5,308,
pumpkin blossom_5,309,
borage flower_5,310,
rose_5,311,
squash blossom_5,312,
cactus_5,313,
sugarcane_5,314,
sugar_5,315,
soda_5,316,
artificial sweetener_5,317,
vanilla bean_5,318,
orange leaf_5,319,
corn husk_5,320,
langostino_5,321,
shrimp_5,322,
squid_5,323,
ahi tuna_5,324,
anchovy_5,325,
bonito_5,326,
bony fish_5,327,
butterfish_5,328,
cod_5,329,
fish_undetermined_5,330,
herring_5,331,
mackerel_5,332,
rock fish_5,333,
sardine_5,334,
silversides_5,335,
smelt_5,336,
salmon_5,337,
trout_5,338,
octopus_5,339,
beef_5,340,
veal_5,341,
lamb_5,342,
bison_5,343,
pig_5,344,
meat_undetermined_5,345,
horse_5,346,
rat_5,347,
mouse_5,348,
chicken_5,349,
turkey_5,350,
duck_5,351,
rabbit_5,352,
elk_5,353,
buffalo_5,354,
ostrich_5,355,
lizard_5,356,
egg_salmon_5,357,
egg_chicken_5,358,
egg_quail_5,359,
milk_5,360,
milk_cow_5,361,
milk_goat_5,362,
butter_5,363,
cream_5,364,
sour cream_5,365,
ice cream_5,366,
american cheese_5,367,
bloomy cheese_5,368,
blue cheese_5,369,
boschetto cheese_5,370,
brie cheese_5,371,
cheddar cheese_5,372,
cheese_5,373,
cream cheese_5,374,
dubliner cheese_5,375,
feta cheese_5,376,
goat cheese_5,377,
gouda cheese_5,378,
havarti cheese_5,379,
Iberico cheese_5,380,
jack cheese_5,381,
manchego cheese_5,382,
midnight moon cheese_5,383,
mozzarella cheese_5,384,
natural cheese_5,385,
not collected_5,386,
parmesan cheese_5,387,
pecorino cheese_5,388,
petit basque cheese_5,389,
provolone_5,390,
raclette cheese_5,391,
ricotta cheese_5,392,
sarro di bufala cheese_5,393,
stilton cheese_5,394,
string cheese_5,395,
tomme brulee cheese_5,396,
washed cheese_5,397,
wine cheese_5,398,
yogurt_cow_5,399,
honey_5,400,
tarantula_5,401,
snail_5,402,
cricket_5,403,
ant_5,404,
grasshopper_5,405,
insect_5,406,
silkworm_5,407,
worm_5,408,
yeast_5,409,
mushroom_5,410,
truffle black_5,411,
truffle hooked_5,412,
algae_5,413,
dulse_5,414,
kelp_5,415,
nori_5,416,
seaweed_5,417,
calcium carbonate_5,418,
calcium hydroxide_5,419,
salt_5,420,
supplement_5,421,
water_5,422,
complex_5,423,
unmatched_1,999,#D3D3D3
unmatched_2,999,#D3D3D3
unmatched_3,999,#D3D3D3
unmatched_4,999,#D3D3D3
unmatched_5,999,#D3D3D3
unmatched_6,999,#D3D3D3
